Job Title ,Median Pay ,Entry Level Education ,Work experience required?,On the job trainining?,Number of Jobs ,Job Outlook ,Employment Change 
Data Scientist ,"$112,590",Bachelors degree ,None ,None ,"245,900",34%,"82,500"
Financial Analyst ,"$101,910",Bachelors degree ,None ,None ,"429,000",6%,"25,100"
Computer scientist ,"$140,910",Master's degree ,None ,None ,"40,300",20%,"7,900"
Actuary ,"$125,770",Bachelor's degree ,None ,Long-term on the job training,"33,600",22%,"7,300"
Budget Analyst ,"$87,930",Bachelor's degree ,None ,None ,"50,400",1%,500
Financial Manager ,"$161,700",Bachelor's degree ,5 years or more ,None ,"868,600",15%,"128,800"
Accountant ,"$81,680",Bachelor's degree ,None ,None ,"1,579,800",5%,"72,800"
Insurance Underwriter ,"$79,880",Bachelor's degree ,None ,Moderate on the job training ,"127,000",-3%,"-3,300"
Cost Estimators ,"$77,070",Bachelor's degree ,None ,Moderate on the job training ,"221,400",-4%,"-9,300"
Operations Research Analyst ,"$91,290",Bachelor's degree ,None ,None ,"112,100",21%,"24,100"
Mathematicians and Staticians ,"$104,350",Master's degree ,None ,None ,"34,600",8%,"2,700"